fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s,source_csv
139,4916,4,True,1,2,15,0,52,0.801585,classic_shard_0_1000_per_fault.csv
140,4934,4,True,1,0,6,0,9,0.287201,classic_shard_0_1000_per_fault.csv
141,5013,4,True,1,0,21,0,172,0.855358,classic_shard_0_1000_per_fault.csv
142,5017,4,False,2,32,177,0,942,5.012891,classic_shard_0_1000_per_fault.csv
143,5033,4,False,2,46,181,0,1075,5.007073,classic_shard_0_1000_per_fault.csv
144,5034,4,True,1,0,14,0,43,0.323396,classic_shard_0_1000_per_fault.csv
145,5037,4,False,2,25,204,0,1321,5.03126,classic_shard_0_1000_per_fault.csv
146,5039,3,True,1,0,26,0,197,0.609598,classic_shard_0_1000_per_fault.csv
147,5042,4,True,1,0,14,0,42,0.325725,classic_shard_0_1000_per_fault.csv
148,5043,4,True,1,0,21,0,194,0.485335,classic_shard_0_1000_per_fault.csv
149,5058,3,False,2,38,185,0,1512,5.065587,classic_shard_0_1000_per_fault.csv
150,5061,4,True,1,0,29,0,254,0.669265,classic_shard_0_1000_per_fault.csv
151,5062,3,True,1,0,31,0,276,0.716756,classic_shard_0_1000_per_fault.csv
152,5063,4,True,1,1,32,0,249,0.762204,classic_shard_0_1000_per_fault.csv
153,5064,3,True,1,0,30,0,248,0.693077,classic_shard_0_1000_per_fault.csv
154,5065,3,True,1,0,30,0,246,0.692525,classic_shard_0_1000_per_fault.csv
155,5066,4,True,1,1,32,0,248,0.769622,classic_shard_0_1000_per_fault.csv
156,5073,4,False,2,56,162,0,1538,5.025219,classic_shard_0_1000_per_fault.csv
157,5081,4,False,2,49,170,0,3202,5.004682,classic_shard_0_1000_per_fault.csv
158,5082,3,False,2,30,117,0,2020,5.002106,classic_shard_0_1000_per_fault.csv
159,5083,4,False,2,30,115,0,2022,5.01897,classic_shard_0_1000_per_fault.csv
160,5084,4,False,2,58,162,0,1498,5.037298,classic_shard_0_1000_per_fault.csv
161,5085,4,False,2,49,123,0,896,5.001627,classic_shard_0_1000_per_fault.csv
162,5086,3,False,2,58,163,0,1500,5.060888,classic_shard_0_1000_per_fault.csv
163,5087,4,False,2,55,159,0,1484,5.01851,classic_shard_0_1000_per_fault.csv
164,5089,3,False,2,41,111,0,858,5.081482,classic_shard_0_1000_per_fault.csv
165,5091,3,False,2,51,133,0,983,5.011341,classic_shard_0_1000_per_fault.csv
166,5099,3,False,2,49,146,0,1384,5.012842,classic_shard_0_1000_per_fault.csv
167,5100,4,False,2,50,146,0,1313,5.003183,classic_shard_0_1000_per_fault.csv
168,5101,4,False,2,60,160,0,1348,5.015781,classic_shard_0_1000_per_fault.csv
169,5104,3,False,2,60,160,0,1340,5.021312,classic_shard_0_1000_per_fault.csv
170,5105,3,False,2,60,160,0,1338,5.0208,classic_shard_0_1000_per_fault.csv
171,5105,4,False,2,59,159,0,1333,5.002452,classic_shard_0_1000_per_fault.csv
172,5107,3,False,2,58,158,0,1339,5.014246,classic_shard_0_1000_per_fault.csv
173,5112,3,False,2,55,165,0,1369,5.009139,classic_shard_0_1000_per_fault.csv
174,5114,4,False,2,56,166,0,1356,5.054486,classic_shard_0_1000_per_fault.csv
175,5117,3,False,2,56,167,0,1194,5.106575,classic_shard_0_1000_per_fault.csv
176,5118,4,False,2,56,166,0,1190,5.080455,classic_shard_0_1000_per_fault.csv
177,5120,4,False,2,51,164,0,1178,5.019458,classic_shard_0_1000_per_fault.csv
178,5123,4,False,2,56,166,0,1190,5.125546,classic_shard_0_1000_per_fault.csv
179,5131,3,False,2,23,203,0,1282,5.010931,classic_shard_0_1000_per_fault.csv
180,5132,3,True,1,0,31,0,219,0.715284,classic_shard_0_1000_per_fault.csv
181,5132,4,True,1,0,23,0,166,0.530531,classic_shard_0_1000_per_fault.csv
182,5133,3,True,1,0,26,0,182,0.601848,classic_shard_0_1000_per_fault.csv
183,5134,4,True,1,0,14,0,44,0.32394,classic_shard_0_1000_per_fault.csv
